sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,windspeed,winddirec,datacreationdate,unit,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
復興,高雄市,112,細懸浮微粒,對敏感族群不健康,0.8,0.56,26,18,57,27,17,23.2,5.9,1.5,303,"2025-02-07 11:00",,0.4,35,50,1,120.312017,22.608711,71
永和,新北市,40,,良好,1.1,0.46,29,35,7,5,18,21.6,4,1.8,88,"2025-02-07 11:00",,0.4,5,6,0,121.516306,25.017,70
竹山,南投縣,75,細懸浮微粒,普通,0.9,0.32,29,16,19,13,12,13.6,1.3,1.7,13,"2025-02-07 11:00",,0.3,21,28,1,120.677306,23.756389,69
中壢,桃園市,26,,良好,,0.45,,28,14,,,,,1.5,4,"2025-02-07 11:00",,0.3,6,10,1,121.221667,24.953278,68
三重,新北市,65,二氧化氮,普通,1.2,0.93,8,15,12,7,44,108.1,63.6,-,-,"2025-02-07 11:00",,0.8,7,9,1,121.493806,25.072611,67
冬山,宜蘭縣,34,,良好,0.6,0.24,40,37,4,0,8,9.5,1.3,1,354,"2025-02-07 11:00",,0.2,1,3,0,121.792928,24.632203,66
宜蘭,宜蘭縣,35,,良好,0.9,0.27,41,38,6,0,6,6.8,1.1,1.5,40,"2025-02-07 11:00",,0.2,2,3,0,121.746394,24.747917,65
陽明,臺北市,44,,良好,0.8,0.22,46,49,4,1,2,1.8,0.3,1.7,,"2025-02-07 11:00",,0.2,0,3,0,121.529583,25.182722,64
花蓮,花蓮縣,18,,良好,0.4,0.28,,19,14,0,5,7.2,1.7,3.9,81,"2025-02-07 11:00",,0.2,2,11,0,121.599769,23.971306,63
臺東,臺東縣,26,,良好,0.7,0.26,37,29,13,4,5,7.3,2.1,3.3,28,"2025-02-07 11:00",,0.2,5,10,0,121.15045,22.755358,62
恆春,屏東縣,40,,良好,0.6,0.19,44,44,4,2,1,2.3,0.9,10.2,22,"2025-02-07 11:00",,0.1,3,5,0,120.788928,21.958069,61
潮州,屏東縣,130,細懸浮微粒,對敏感族群不健康,0.7,0.35,27,13,67,43,9,12.6,3.7,1.7,285,"2025-02-07 11:00",,0.3,42,65,1,120.561175,22.523108,60
屏東,屏東縣,126,細懸浮微粒,對敏感族群不健康,0.9,0.35,27,17,54,41,12,16.7,4.8,1.3,307,"2025-02-07 11:00",,0.3,41,58,1,120.488033,22.673081,59
小港,高雄市,122,細懸浮微粒,對敏感族群不健康,0.6,0.47,28,16,49,39,21,28.4,7.4,2.7,295,"2025-02-07 11:00",,0.4,39,53,2,120.337736,22.565833,58
前鎮,高雄市,116,細懸浮微粒,對敏感族群不健康,0.5,0.46,28,19,54,32,16,22.4,6.2,3.1,13,"2025-02-07 11:00",,0.4,36,56,1,120.30833356,22.6044507,57
前金,高雄市,104,細懸浮微粒,對敏感族群不健康,0.8,0.39,23,19,48,28,22,36.1,13.9,4.8,351,"2025-02-07 11:00",,0.3,32,55,1,120.28676111,22.63390278,56
左營,高雄市,102,細懸浮微粒,對敏感族群不健康,0.9,0.38,29,22,47,27,12,16.7,4.6,3.8,5,"2025-02-07 11:00",,0.3,31,50,1,120.292917,22.674861,54
楠梓,高雄市,96,細懸浮微粒,普通,1.1,0.32,28,19,45,25,12,15.9,4.4,2.6,345,"2025-02-07 11:00",,0.3,29,50,1,120.328289,22.733667,53
林園,高雄市,141,細懸浮微粒,對敏感族群不健康,2.8,0.39,34,16,68,35,17,20.5,3.7,2.1,64,"2025-02-07 11:00",,0.4,47,76,2,120.41175,22.4795,52
大寮,高雄市,130,細懸浮微粒,對敏感族群不健康,,,26,15,60,34,,,,2.2,342,"2025-02-07 11:00",,0.3,42,60,1,120.425311,22.56413611,51
鳳山,高雄市,128,細懸浮微粒,對敏感族群不健康,,0.62,,13,53,,,,,1.5,291,"2025-02-07 11:00",,0.5,42,58,1,120.357422,22.628126,50
仁武,高雄市,112,細懸浮微粒,對敏感族群不健康,0.8,0.35,26,17,50,31,15,22,6.7,2.6,331,"2025-02-07 11:00",,0.3,35,49,1,120.332631,22.689056,49
橋頭,高雄市,105,細懸浮微粒,對敏感族群不健康,1,0.32,26,21,41,26,13,17.6,4.4,3.4,10,"2025-02-07 11:00",,0.3,32,45,1,120.305689,22.757506,48
美濃,高雄市,99,細懸浮微粒,普通,1,0.3,18,9,33,22,6,7.3,1.3,1.6,280,"2025-02-07 11:00",,0.3,30,47,0,120.530542,22.883583,47
臺南,臺南市,76,細懸浮微粒,普通,0.8,0.33,33,28,31,18,11,13.1,2,4,11,"2025-02-07 11:00",,0.3,22,37,1,120.21947897,22.98928311,46
安南,臺南市,77,細懸浮微粒,普通,0.5,0.34,32,28,40,20,10,11.1,1.1,4,324,"2025-02-07 11:00",,0.3,22,38,0,120.2175,23.048197,45
善化,臺南市,68,細懸浮微粒,普通,0.7,0.27,33,27,28,15,8,10.3,2.1,5.2,3,"2025-02-07 11:00",,0.3,19,41,1,120.29740529,23.11337642,44
新營,臺南市,60,細懸浮微粒,普通,0.3,0.3,35,29,37,13,9,11.5,2.8,3.2,27,"2025-02-07 11:00",,0.3,16,32,1,120.31725,23.305633,43
嘉義,嘉義市,64,細懸浮微粒,普通,1.6,0.33,32,26,24,12,11,12.8,1.8,2.6,44,"2025-02-07 11:00",,0.3,17,27,4,120.44125148,23.46477865,42
臺西,雲林縣,43,,良好,1.1,0.24,46,46,30,7,3,3.6,0.4,10.2,24,"2025-02-07 11:00",,0.2,7,24,1,120.19933333,23.702175,41
朴子,嘉義縣,60,懸浮微粒,普通,0.9,0.29,42,38,84,13,6,7.2,0.8,2.8,357,"2025-02-07 11:00",,0.2,15,39,1,120.2478,23.46538,40
新港,嘉義縣,52,懸浮微粒,普通,1,0.29,42,36,53,9,8,9.6,1.9,4.1,17,"2025-02-07 11:00",,0.2,11,32,2,120.345531,23.554839,39
崙背,雲林縣,71,懸浮微粒,普通,0.5,0.28,42,38,63,14,5,7.3,1.9,2.9,0,"2025-02-07 11:00",,0.3,14,49,1,120.348742,23.757547,38
斗六,雲林縣,55,細懸浮微粒,普通,0.9,0.3,35,28,23,10,9,11.8,3,1.8,6,"2025-02-07 11:00",,0.2,14,28,1,120.544994,23.711853,37
南投,南投縣,52,細懸浮微粒,普通,1.5,0.35,36,21,18,5,12,16.1,4.3,2.4,344,"2025-02-07 11:00",,0.3,13,21,1,120.685306,23.913,36
二林,彰化縣,61,懸浮微粒,普通,1,0.27,45,42,41,3,5,6.5,1.3,6.5,20,"2025-02-07 11:00",,0.3,8,40,1,120.409653,23.925175,35
線西,彰化縣,38,,良好,1.5,0.37,41,41,27,8,8,10.2,2.4,8.9,30,"2025-02-07 11:00",,0.4,8,21,1,120.469061,24.131672,34
彰化,彰化縣,34,,良好,1,0.33,38,37,18,6,11,15.3,4,3.3,20,"2025-02-07 11:00",,0.2,8,16,1,120.541519,24.066,33
西屯,臺中市,36,,良好,1,0.28,,,15,4,9,12.8,3.7,5.8,358,"2025-02-07 11:00",,0.2,9,15,1,120.616917,24.162197,32
忠明,臺中市,36,,良好,1.2,0.32,35,30,18,5,10,14.7,4.2,2.8,339,"2025-02-07 11:00",,0.3,9,18,1,120.641092,24.151958,31
大里,臺中市,47,,良好,1.4,0.33,35,25,10,9,7,10.9,3.7,2.9,339,"2025-02-07 11:00",,0.3,12,13,1,120.67844444,24.09961111,30
沙鹿,臺中市,37,,良好,1.1,0.27,40,41,14,6,8,9.5,1.7,6.7,143,"2025-02-07 11:00",,0.2,7,16,1,120.568794,24.225628,29
豐原,臺中市,36,,良好,1,0.28,38,29,9,4,7,8.6,1.4,3.1,35,"2025-02-07 11:00",,0.2,9,10,1,120.74252414,24.25699731,28
三義,苗栗縣,30,,良好,0.5,0.27,37,32,9,3,7,9.5,2.2,7.1,13,"2025-02-07 11:00",,0.2,5,7,1,120.75956754,24.38248443,27
苗栗,苗栗縣,34,,良好,1.7,0.25,37,37,7,3,10,11.7,1.9,4.6,14,"2025-02-07 11:00",,0.2,5,6,1,120.82011468,24.56499183,26
頭份,苗栗縣,37,,良好,1.1,0.26,39,40,13,2,10,12.2,2.6,3.3,26,"2025-02-07 11:00",,0.2,4,12,1,120.89869286,24.69690679,25
新竹,新竹市,36,,良好,2.1,0.29,35,40,8,5,10,12.1,1.7,3.2,38,"2025-02-07 11:00",,0.2,6,5,1,120.97236752,24.8056356,24
竹東,新竹縣,35,,良好,0.6,0.22,43,38,6,0,6,7.3,1.1,5.1,35,"2025-02-07 11:00",,0.2,5,4,0,121.08895493,24.74091408,23
湖口,新竹縣,39,,良好,0.4,0.23,39,42,9,4,7,8,0.8,5.6,36,"2025-02-07 11:00",,0.2,4,7,0,121.03886894,24.90009696,22
龍潭,桃園市,33,,良好,1.4,0.29,35,37,8,8,12,13.9,1.8,5.7,48,"2025-02-07 11:00",,0.2,4,6,1,121.21645772,24.86400048,21
平鎮,桃園市,51,二氧化氮,普通,0.6,0.34,26,35,6,,22,24.9,2.7,2.9,47,"2025-02-07 11:00",,0.3,6,7,0,121.203986,24.952786,20
觀音,桃園市,39,,良好,0.9,0.17,39,43,10,4,6,8.5,3,7.2,55,"2025-02-07 11:00",,0.2,4,9,0,121.08283092,25.03556747,19
大園,桃園市,39,,良好,1,0.21,39,43,11,2,8,10.5,2.2,6.3,38,"2025-02-07 11:00",,0.2,2,10,1,121.20251473,25.06100357,18
桃園,桃園市,32,,良好,1.3,0.5,23,35,14,2,,,,1.7,21,"2025-02-07 11:00",,0.3,1,5,1,121.30500531,24.9947107,17
大同,臺北市,62,二氧化氮,普通,0.9,0.76,10,20,11,9,40,79.8,40.1,-,-,"2025-02-07 11:00",,0.6,8,11,1,121.51342074,25.06331455,16
松山,臺北市,54,二氧化氮,普通,1.5,0.3,17,33,8,7,27,33.1,5.7,1.8,18,"2025-02-07 11:00",,0.2,6,4,1,121.578611,25.05,15
古亭,臺北市,40,,良好,1.5,0.32,29,36,8,3,18,20.8,2.9,1.5,67,"2025-02-07 11:00",,0.3,4,4,1,121.529556,25.020608,14
萬華,臺北市,48,,良好,0.3,0.35,26,35,7,2,21,23.4,2.4,2.4,91,"2025-02-07 11:00",,0.3,2,6,1,121.507972,25.046503,13
中山,臺北市,57,二氧化氮,普通,0.5,0.46,17,28,16,6,31,42.2,10.9,1.9,76,"2025-02-07 11:00",,0.4,5,13,0,121.526528,25.062361,12
士林,臺北市,36,,良好,0.7,0.29,32,39,5,1,14,14.9,0.9,1.4,180,"2025-02-07 11:00",,0.2,1,3,1,121.51666356,25.10334003,11
淡水,新北市,40,,良好,0.3,0.21,42,44,3,,4,4.5,0.8,3.9,20,"2025-02-07 11:00",,0.2,4,4,0,121.449239,25.1645,10
林口,新北市,35,,良好,0.6,0.23,31,38,2,3,15,18.9,4,3.6,42,"2025-02-07 11:00",,0.2,2,3,1,121.36548982,25.07798949,9
菜寮,新北市,50,,良好,0.6,0.42,28,34,11,6,21,24,2.8,2.3,81,"2025-02-07 11:00",,0.3,5,6,0,121.481028,25.06895,8
新莊,新北市,43,,良好,0.5,0.35,28,33,8,4,18,19.9,1.8,3,83,"2025-02-07 11:00",,0.3,4,3,0,121.4325,25.037972,7
板橋,新北市,50,,良好,0.8,0.39,27,36,6,0,22,25,3.3,1.7,97,"2025-02-07 11:00",,0.3,3,4,0,121.458667,25.012972,6
土城,新北市,35,,良好,1.7,0.33,34,38,8,3,14,15.6,1.2,1.3,134,"2025-02-07 11:00",,0.3,2,6,0,121.451861,24.982528,5
新店,新北市,35,,良好,0.4,0.31,34,39,12,5,14,15.4,1.2,2,97,"2025-02-07 11:00",,0.2,2,8,0,121.537778,24.977222,4
萬里,新北市,53,懸浮微粒,普通,0.7,0.2,47,49,29,4,3,3.4,0.7,9.1,34,"2025-02-07 11:00",,0.2,4,33,0,121.689881,25.179667,3
汐止,新北市,43,,良好,1.3,0.26,31,38,,6,19,21,2.2,2,44,"2025-02-07 11:00",,0.2,4,9,0,121.64081,25.06624,2
基隆,基隆市,44,,良好,0.7,0.23,45,48,7,2,4,4.1,0.5,1.6,96,"2025-02-07 11:00",,0.2,3,6,1,121.760056,25.129167,1
屏東(枋山),屏東縣,53,細懸浮微粒,普通,0.5,0.3,33,35,54,27,7,8.8,1.5,2.8,314,"2025-02-07 10:00",,0.2,13,28,0,120.651472,22.260899,313
花蓮（美崙）,花蓮縣,32,,良好,0.1,0.22,45,35,15,8,7,11.7,4.6,6.5,33,"2025-02-07 10:00",,0.2,4,10,0,121.61575076,23.97709367,312
新北（樹林）,新北市,55,二氧化氮,普通,0.8,0.36,18,22,4,1,28,36.4,7.9,0,148,"2025-02-07 10:00",,0.3,2,4,0,121.38352778,24.94902778,311
台中市（和平區消防隊）,臺中市,60,細懸浮微粒,普通,,0.28,16,12,16,8,6,9.2,3.7,0.1,24,"2025-02-07 10:00",,0.3,16,19,0,120.883858,24.174592,310
屏東（琉球）,屏東縣,146,細懸浮微粒,對敏感族群不健康,6.1,0.91,19,16,79,53,24,35.3,11.4,2.4,334,"2025-02-07 10:00",,0.6,49,70,3,120.37722,22.35222,204
臺南（麻豆）,臺南市,71,細懸浮微粒,普通,0.5,0.3,32,27,29,12,8,9,1.1,3.3,1,"2025-02-07 10:00",,0.3,20,35,1,120.24583056,23.17904722,203
高雄（湖內）,高雄市,98,細懸浮微粒,普通,1.4,0.34,22,20,37,24,15,18,3.1,1.6,332,"2025-02-07 10:00",,0.3,30,45,2,120.24535,22.87985556,202
宜蘭（頭城）,宜蘭縣,38,,良好,0.8,0.22,42,42,14,1,5,6,1.2,2.1,55,"2025-02-07 10:00",,0.2,2,11,1,121.82463916,24.85366672,201
員林,彰化縣,46,,良好,0.9,0.3,,29,21,6,8,11.1,2.8,4.7,81,"2025-02-07 10:00",,0.2,12,18,1,120.5631893,23.9615945,139
大城,彰化縣,44,,良好,1.1,0.22,49,49,22,10,2,4.1,1.5,10.1,39,"2025-02-07 10:00",,0.2,8,20,1,120.26964167,23.85493056,85
富貴角,新北市,47,,良好,0.2,0.18,50,52,23,3,1,1.2,0,11.8,32,"2025-02-07 10:00",,0.2,3,19,0,121.53656894,25.29681695,84
麥寮,雲林縣,43,,良好,1.3,0.25,46,45,25,11,4,4.1,0.1,8.6,358,"2025-02-07 10:00",,0.2,11,19,2,120.251825,23.753506,83
關山,臺東縣,32,,良好,0.4,0.22,34,20,19,3,3,5.5,2,3.8,31,"2025-02-07 10:00",,0.2,8,19,0,121.161933,23.045083,80
馬公,澎湖縣,44,,良好,1.1,0.24,48,49,17,5,2,2.7,0.4,7.7,34,"2025-02-07 10:00",,0.2,7,14,1,119.566158,23.569031,78
金門,金門縣,38,,良好,1.2,0.34,32,34,5,8,6,6.6,1.1,1.9,31,"2025-02-07 10:00",,0.3,9,8,1,118.312256,24.432133,77
馬祖,連江縣,66,細懸浮微粒,普通,1,0.22,42,39,25,14,3,3.5,0.6,1.5,349,"2025-02-07 10:00",,0.2,18,25,0,119.952724,26.153736,75
埔里,南投縣,106,細懸浮微粒,對敏感族群不健康,1.4,0.42,22,8,30,23,5,8.6,3.9,0.6,332,"2025-02-07 10:00",,0.4,33,42,1,120.967903,23.968842,72
復興,高雄市,119,細懸浮微粒,對敏感族群不健康,0.8,0.59,20,18,47,31,18,25.1,6.8,1.5,126,"2025-02-07 10:00",,0.4,38,50,1,120.312017,22.608711,71
永和,新北市,48,,良好,1.2,0.53,28,36,9,7,21,26,5.1,1.4,91,"2025-02-07 10:00",,0.4,5,5,0,121.516306,25.017,70
竹山,南投縣,80,細懸浮微粒,普通,0.9,0.29,24,13,21,16,11,13,1.6,0.9,319,"2025-02-07 10:00",,0.3,23,30,1,120.677306,23.756389,69
中壢,桃園市,55,二氧化氮,普通,1.2,0.46,18,29,10,8,30,47.6,17.6,1.4,30,"2025-02-07 10:00",,0.3,7,9,1,121.221667,24.953278,68
三重,新北市,65,二氧化氮,普通,1.2,0.98,8,17,14,9,44,102.6,58.2,-,-,"2025-02-07 10:00",,0.7,6,9,1,121.493806,25.072611,67
冬山,宜蘭縣,32,,良好,0.7,0.25,41,35,5,0,8,9.5,1.4,1.5,292,"2025-02-07 10:00",,0.2,1,3,0,121.792928,24.632203,66
宜蘭,宜蘭縣,34,,良好,1.2,0.28,41,37,4,0,7,8.3,1.3,1.4,73,"2025-02-07 10:00",,0.2,2,3,0,121.746394,24.747917,65
陽明,臺北市,45,,良好,0.8,0.24,48,49,6,0,2,1.6,0.1,1.5,,"2025-02-07 10:00",,0.2,0,3,0,121.529583,25.182722,64
花蓮,花蓮縣,18,,良好,0.4,0.29,,19,16,2,5,6.5,1.4,3.5,70,"2025-02-07 10:00",,0.2,3,11,0,121.599769,23.971306,63
臺東,臺東縣,26,,良好,0.8,0.27,28,28,11,4,5,7.2,2,1.7,315,"2025-02-07 10:00",,0.2,5,10,0,121.15045,22.755358,62
恆春,屏東縣,40,,良好,0.7,0.18,42,44,4,4,1,2.2,0.9,8.7,21,"2025-02-07 10:00",,0.1,3,5,0,120.788928,21.958069,61
潮州,屏東縣,128,細懸浮微粒,對敏感族群不健康,0.7,0.39,17,12,74,45,9,13,4.1,1.6,23,"2025-02-07 10:00",,0.3,42,64,1,120.561175,22.523108,60
屏東,屏東縣,125,細懸浮微粒,對敏感族群不健康,0.9,0.4,18,16,65,42,13,18.3,5.6,2.5,336,"2025-02-07 10:00",,0.3,40,58,1,120.488033,22.673081,59
小港,高雄市,124,細懸浮微粒,對敏感族群不健康,0.9,0.49,20,15,47,31,20,27.1,6.9,1.4,344,"2025-02-07 10:00",,0.4,40,55,2,120.337736,22.565833,58
前鎮,高雄市,122,細懸浮微粒,對敏感族群不健康,0.5,0.52,21,18,53,31,17,24.2,7,3.5,7,"2025-02-07 10:00",,0.4,39,58,1,120.30833356,22.6044507,57
前金,高雄市,109,細懸浮微粒,對敏感族群不健康,0.7,0.41,20,18,53,28,20,32.4,12.1,6.2,355,"2025-02-07 10:00",,0.3,34,57,1,120.28676111,22.63390278,56
左營,高雄市,106,細懸浮微粒,對敏感族群不健康,1,0.44,25,21,50,28,13,17.3,3.9,3.5,351,"2025-02-07 10:00",,0.3,32,53,1,120.292917,22.674861,54
楠梓,高雄市,103,細懸浮微粒,對敏感族群不健康,1.1,0.34,24,18,48,30,12,16.5,4,2.4,30,"2025-02-07 10:00",,0.3,31,53,1,120.328289,22.733667,53
林園,高雄市,149,細懸浮微粒,對敏感族群不健康,2.5,0.38,22,14,70,43,16,20.6,4.8,2.4,20,"2025-02-07 10:00",,0.4,50,80,2,120.41175,22.4795,52
大寮,高雄市,134,細懸浮微粒,對敏感族群不健康,1.6,0.37,18,14,61,45,15,21.8,6.3,2.3,322,"2025-02-07 10:00",,0.3,44,60,1,120.425311,22.56413611,51
鳳山,高雄市,129,細懸浮微粒,對敏感族群不健康,2.7,0.67,16,13,57,34,20,31.3,10.9,2,283,"2025-02-07 10:00",,0.4,42,61,1,120.357422,22.628126,50
仁武,高雄市,117,細懸浮微粒,對敏感族群不健康,0.8,0.38,20,16,49,34,17,23.3,6.6,4,343,"2025-02-07 10:00",,0.3,37,51,1,120.332631,22.689056,49
橋頭,高雄市,111,細懸浮微粒,對敏感族群不健康,1,0.33,24,20,42,29,14,17.8,3.9,4,354,"2025-02-07 10:00",,0.3,34,46,1,120.305689,22.757506,48
美濃,高雄市,103,細懸浮微粒,對敏感族群不健康,0.8,0.35,13,9,40,31,8,10,2.3,1.3,335,"2025-02-07 10:00",,0.3,32,49,0,120.530542,22.883583,47
臺南,臺南市,78,細懸浮微粒,普通,0.8,0.33,30,27,30,18,12,13.5,1.9,3.6,359,"2025-02-07 10:00",,0.3,22,38,1,120.21947897,22.98928311,46
安南,臺南市,78,細懸浮微粒,普通,0.5,0.35,30,28,35,16,10,11.7,1.2,3.4,334,"2025-02-07 10:00",,0.3,22,37,1,120.2175,23.048197,45
善化,臺南市,72,細懸浮微粒,普通,1,0.28,29,26,34,16,10,12.3,2.2,3.6,4,"2025-02-07 10:00",,0.3,20,44,1,120.29740529,23.11337642,44
新營,臺南市,63,細懸浮微粒,普通,0.2,0.3,33,28,28,11,9,11.6,2.4,4.4,13,"2025-02-07 10:00",,0.3,17,32,1,120.31725,23.305633,43
嘉義,嘉義市,67,細懸浮微粒,普通,2.2,0.35,28,25,17,13,14,15.2,1.6,3.3,10,"2025-02-07 10:00",,0.3,18,28,4,120.44125148,23.46477865,42
臺西,雲林縣,43,,良好,1.1,0.25,47,46,28,5,3,3.4,0.5,9.1,21,"2025-02-07 10:00",,0.2,7,23,1,120.19933333,23.702175,41
朴子,嘉義縣,60,細懸浮微粒,普通,0.8,0.29,38,37,37,15,6,6.7,0.1,3.2,357,"2025-02-07 10:00",,0.2,16,30,1,120.2478,23.46538,40
新港,嘉義縣,48,,良好,,,39,34,33,9,,,,5.6,17,"2025-02-07 10:00",,0.3,12,28,2,120.345531,23.554839,39
崙背,雲林縣,67,懸浮微粒,普通,1,0.33,38,36,104,15,7,8.9,1.8,3.7,13,"2025-02-07 10:00",,0.3,14,45,1,120.348742,23.757547,38
斗六,雲林縣,57,細懸浮微粒,普通,0.8,0.32,32,26,24,11,10,12.4,2.7,2.3,354,"2025-02-07 10:00",,0.2,15,28,1,120.544994,23.711853,37
南投,南投縣,57,細懸浮微粒,普通,1.4,0.35,30,18,23,8,14,17.5,3.9,2.3,13,"2025-02-07 10:00",,0.3,15,22,1,120.685306,23.913,36
二林,彰化縣,60,懸浮微粒,普通,1.2,0.29,44,41,58,6,6,6.6,1,7.5,33,"2025-02-07 10:00",,0.3,9,39,1,120.409653,23.925175,35
線西,彰化縣,38,,良好,1.4,0.26,43,41,20,7,7,8.5,1.5,8.1,28,"2025-02-07 10:00",,0.4,8,20,1,120.469061,24.131672,34
彰化,彰化縣,33,,良好,0.9,0.33,37,36,18,7,11,13.7,2.7,4,26,"2025-02-07 10:00",,0.2,8,16,1,120.541519,24.066,33
西屯,臺中市,40,,良好,0.9,0.27,,32,12,9,8,11,2.4,5.2,8,"2025-02-07 10:00",,0.2,10,15,1,120.616917,24.162197,32
忠明,臺中市,39,,良好,1,0.34,32,28,20,3,11,14.5,3.3,2,14,"2025-02-07 10:00",,0.3,10,18,1,120.641092,24.151958,31
大里,臺中市,50,,良好,1.6,0.34,33,22,10,8,8,12.2,3.7,3.4,6,"2025-02-07 10:00",,0.3,12,15,1,120.67844444,24.09961111,30
沙鹿,臺中市,37,,良好,1.1,0.27,41,40,21,6,7,8.3,1.1,5.1,45,"2025-02-07 10:00",,0.2,7,17,1,120.568794,24.225628,29
豐原,臺中市,43,,良好,1,0.29,35,28,4,6,8,8.9,0.8,2.8,27,"2025-02-07 10:00",,0.2,11,11,1,120.74252414,24.25699731,28
三義,苗栗縣,28,,良好,0.4,0.29,35,30,6,5,9,10.4,1.8,7.4,14,"2025-02-07 10:00",,0.2,6,8,1,120.75956754,24.38248443,27
苗栗,苗栗縣,33,,良好,1.6,0.25,36,37,7,3,10,10.9,1.3,4.3,23,"2025-02-07 10:00",,0.2,6,7,1,120.82011468,24.56499183,26
頭份,苗栗縣,37,,良好,1.3,0.27,39,40,13,2,10,11.8,2,3.3,43,"2025-02-07 10:00",,0.2,5,11,1,120.89869286,24.69690679,25
新竹,新竹市,36,,良好,2.2,0.27,38,40,7,4,9,9.9,1.2,3.5,30,"2025-02-07 10:00",,0.2,6,5,1,120.97236752,24.8056356,24
竹東,新竹縣,31,,良好,0.5,0.24,42,34,0,1,7,7.8,1,5.5,32,"2025-02-07 10:00",,0.2,5,3,0,121.08895493,24.74091408,23
湖口,新竹縣,39,,良好,0.3,0.24,40,43,8,4,7,7.4,0.7,5.6,31,"2025-02-07 10:00",,0.2,4,7,0,121.03886894,24.90009696,22
龍潭,桃園市,33,,良好,1.1,0.3,36,37,7,1,10,11.7,1.1,5.9,61,"2025-02-07 10:00",,0.2,4,6,1,121.21645772,24.86400048,21
平鎮,桃園市,50,,良好,0.7,0.35,26,36,10,5,22,24.2,2.2,2.7,52,"2025-02-07 10:00",,0.3,5,6,0,121.203986,24.952786,20
觀音,桃園市,40,,良好,0.8,0.19,40,44,12,6,5,6.4,1.4,7.1,60,"2025-02-07 10:00",,0.2,4,9,0,121.08283092,25.03556747,19
大園,桃園市,40,,良好,1.2,0.22,40,44,11,2,8,9.8,1.6,6.3,36,"2025-02-07 10:00",,0.2,3,9,1,121.20251473,25.06100357,18
桃園,桃園市,48,,良好,1.1,0.48,27,37,2,0,20,22.6,2.4,2,54,"2025-02-07 10:00",,0.3,1,3,1,121.30500531,24.9947107,17
